trade_date,date,open,high,low,close,volume,pct_chg,change,RSI_6,RSI_14,RSI_24,DIF,DEA,MACD_hist,BOLL_MID,BOLL_UPPER,BOLL_LOWER,BOLL_WIDTH,BOLL_PCTB,TR,ATR_14,ATR_PCT,K,D,J,MACD_golden_cross,MACD_death_cross,KDJ_golden_cross,KDJ_death_cross,BOLL_break_up,BOLL_break_down,RSI_oversold,RSI_overbought
20240621,2024-06-21,4.0087,4.0265,3.9819,3.9908,1304234.65,-0.4454,-0.02,52.04933421530963,49.85860449284427,49.97247867348776,-0.005873037796276126,-0.01008715605570196,0.008428236518851669,3.9814599999999998,4.0362623587659225,3.926657641234077,0.027528775256274216,0.5852153101647894,0.04460000000000042,0.05168471048762487,1.295096484104061,49.462801920341185,45.70547641898153,56.9774529230605,0,0,0,0,0,0,0,0
20240624,2024-06-24,3.9998,4.0176,3.9819,4.0087,1487371.76,0.4474,0.02,57.913208513267925,52.30200074049286,51.32228238754378,-0.003585060611939639,-0.008786736966949496,0.010403352710019714,3.9819050000000002,4.037473581619032,3.9263364183809686,0.027910551165350194,0.7410984698484958,0.03569999999999984,0.050542945452794516,1.260831328181069,61.1935920848251,50.868181640929386,81.84441297261652,0,0,0,0,0,0,0,0
20240625,2024-06-25,4.0085,4.0442,3.9996,4.0353,2027769.79,0.6682,0.03,65.4480258459754,55.75262952946708,53.277087867783955,0.0003703068186591274,-0.006955328209827772,0.014651270056973798,3.982345,4.039516596738917,3.925173403261083,0.028712528291203705,0.9631233253972925,0.04459999999999997,0.05011844934902348,1.2420005786192718,71.56938350665081,57.76858226283652,99.17098599427939,0,0,0,0,0,0,0,0
20240626,2024-06-26,4.0265,4.089,4.0265,4.0622,1845733.42,0.6637,0.03,71.61494831649853,58.98413765639605,55.176558520499654,0.005610890340426167,-0.004442084499776984,0.020105949680406302,3.985465,4.052591378060877,3.9183386219391223,0.033685594057846456,1.0715711335595102,0.0625,0.05100284582409323,1.2555473837844822,75.48724301812386,63.674802514598966,99.11212402517364,0,0,0,0,1,0,0,0
20240627,2024-06-27,4.0622,4.1337,4.0533,4.1158,2261281.97,1.3187,0.06,80.1053149767331,64.54113079603263,58.67007812107271,0.013928602326535255,-0.0007679471345145364,0.029393098922099584,3.9926049999999997,4.081119654748553,3.9040903452514457,0.044339299654513185,1.1959017145237945,0.08040000000000003,0.05310264255094372,1.2902143581064123,80.75326100591573,69.36762201170455,103.52453899433809,0,0,0,0,1,0,0,0
20240628,2024-06-28,4.1158,4.1337,4.098,4.1247,1622231.87,0.2169,0.01,81.22433667718958,65.3798693689594,59.2207661941295,0.020996569240705476,0.003584956140529466,0.03482322620035202,4.001975,4.1044188408412525,3.8995311591587476,0.051196642078599926,1.098986717952986,0.03570000000000029,0.05185959665444776,1.2572937826859591,85.70827591890642,74.8145066474385,107.49581446184223,0,0,0,0,1,0,0,0
20240701,2024-07-01,4.1247,4.1962,4.1069,4.1694,1955082.52,1.0823,0.05,85.97785078950717,69.30674287720818,61.88251029363001,0.029860684979833074,0.008840101908390189,0.04204116614288577,4.012245,4.137338303703958,3.887151696296043,0.062355765265559526,1.1281511293838682,0.08929999999999971,0.05453391117913004,1.3079558492620051,86.76694407313246,78.79865245600315,102.70352730739111,0,0,0,0,1,0,0,0
20240702,2024-07-02,4.1694,4.2497,4.1605,4.2497,2246771.63,1.9272,0.09,90.92868965677874,74.82998821081694,66.03791230167178,0.04287091030274137,0.015646263587260425,0.054449293430961894,4.026529999999999,4.188300247736171,3.8647597522638275,0.08035218798129992,1.189774551016218,0.08919999999999995,0.05701006038062075,1.3415078801002602,91.17796271542164,82.92508920914264,107.68370972797965,0,0,0,0,1,0,0,1
20240703,2024-07-03,4.2497,4.2765,4.1694,4.2051,2157079.51,-1.0504,-0.05,73.60720562231842,67.55831788393414,62.11347581005138,0.04901771464060101,0.022320553797928543,0.05339432168534493,4.038584999999999,4.215919916857431,3.8612500831425676,0.08782032165099007,0.969492988044396,0.10709999999999997,0.06058791321057641,1.440819795262334,86.03989096167275,83.96335645998602,90.19295996504621,0,0,0,0,0,0,0,0
20240704,2024-07-04,4.2051,4.2408,4.1962,4.2319,1462570.32,0.6369,0.03,76.79472004687042,69.47769557511907,63.47449286009838,0.05541287228831937,0.028939017496006712,0.052947709584625316,4.05153,4.245705331513584,3.857354668486415,0.0958528415258356,0.9644513764802881,0.04459999999999997,0.059445919409820955,1.4047099272152213,85.64687005500971,84.52452765832724,87.89155484837468,0,0,0,0,0,0,0,0
20240705,2024-07-05,4.2319,4.2408,4.1247,4.1337,2243659.75,-2.3207,-0.11,50.15863337044553,56.32733504091766,55.80895253019162,0.05195821947911483,0.03354285789262834,0.03683072317297298,4.059565,4.253357078215123,3.865772921784877,0.09547430732855505,0.6912745884217858,0.11610000000000031,0.06349263945197663,1.5359759888713895,73.24092528766627,80.76332686810692,58.196122126784985,0,0,0,1,0,0,0,0
20240708,2024-07-08,4.1426,4.2051,4.1247,4.1872,1942087.2,1.2959,0.06,59.371475835945716,60.69244567353132,58.64795778052959,0.052927272469291964,0.037419740807961066,0.031015063322661796,4.066705000000001,4.268501734364035,3.8649082656359663,0.09924336009817988,0.7985553764775755,0.08040000000000003,0.06470030806254973,1.5451926839546648,70.25395019177742,77.26020130933041,56.241447956671436,0,0,0,0,0,0,0,0
20240709,2024-07-09,4.1872,4.2408,4.1605,4.2319,1755526.8,1.0661,0.05,65.72378403328904,63.93584037200574,60.84125654577131,0.056649154185592465,0.04126562348348735,0.030767061404210233,4.079205,4.289668963411138,3.868741036588862,0.10318871614009988,0.8627580644333704,0.08030000000000026,0.06581457177236763,1.5552014880400677,73.5086071768361,76.0096699318323,68.50648166684365,0,0,0,0,0,0,0,0
20240710,2024-07-10,4.2319,4.2676,4.223,4.2408,1375908.33,0.211,0.01,66.95810797022835,64.56281527724104,61.2680678206792,0.05962955548257387,0.04493840988330465,0.02938229119853844,4.094379999999999,4.305528205371407,3.8832317946285917,0.10314050252854283,0.8467232878973553,0.04459999999999997,0.06429924521719851,1.5162055559611043,75.67240478455736,75.89724821607399,75.2227179215241,0,0,0,0,0,0,0,0
20240711,2024-07-11,4.2408,4.2497,4.1694,4.1962,2157896.36,-1.0526,-0.05,55.03924455187219,59.02498358667417,57.96439737026334,0.05772725387214539,0.047496178681072795,0.02046215038214519,4.1055399999999995,4.313241824739183,3.8978381752608158,0.10118124521460455,0.7182455549291505,0.08029999999999937,0.06544215627311287,1.5595576062416678,67.99937048530234,73.26462230581677,57.468866844273464,0,0,0,0,0,0,0,0
20240712,2024-07-12,4.1872,4.2765,4.1783,4.2587,2073274.56,1.4894,0.07,65.3971133316774,63.72112289014461,61.03658747058364,0.06056474117027477,0.05010989117891319,0.020909699982723157,4.118485000000001,4.330662088648502,3.9063079113514987,0.10303647513515367,0.8304197472336038,0.09820000000000029,0.06778200225360483,1.5916125168151039,74.75759525546282,73.76227995569877,76.74822585499089,0,0,1,0,0,0,0,0
20240715,2024-07-15,4.2587,4.3479,4.2497,4.3301,2191461.22,1.6771,0.08,73.70236705807548,68.20436520514878,64.1591471197434,0.06779337376943317,0.05364658769701719,0.02829357214483197,4.137235,4.354827475440687,3.919642524559314,0.1051873898585343,0.9431793875440614,0.09820000000000029,0.06995471637834737,1.6155450538866856,80.51342670555343,76.01266220565032,89.51495570535965,0,0,0,0,0,0,0,0
20240716,2024-07-16,4.3479,4.4372,4.3212,4.3569,3332158.12,0.6186,0.03,76.26799050609236,69.71708111680097,65.24990836422947,0.07482215003635861,0.05788170016488548,0.033880899742946266,4.15688,4.3795053080614545,3.934254691938546,0.10711173190539741,0.9492301476002583,0.11599999999999966,0.07324366520846538,1.6810958527500146,78.44361780370235,76.82298073833432,81.68489193443841,0,0,0,0,0,0,0,0
20240717,2024-07-17,4.3662,4.3944,4.3287,4.3756,2824099.59,0.431,0.02,78.06023130701534,70.76234026787846,66.00322795951084,0.08096808984621351,0.0624989781011511,0.03693822349012482,4.17567,4.405783318537637,3.945556681462364,0.11021623765174751,0.9344164024719419,0.06569999999999965,0.07270483197928927,1.6615968548150943,79.05841186913496,77.5681244486012,82.0389867102025,0,0,0,0,0,0,0,1
20240718,2024-07-18,4.3756,4.385,4.3287,4.3756,1903945.76,0.0,0.0,78.06023130701534,70.76234026787846,66.00322795951084,0.08486057157933402,0.06697129679678769,0.03577854956509266,4.194015,4.426568290101051,3.9614617098989493,0.11089769116278839,0.8904158911729356,0.05629999999999935,0.07153305826648285,1.634817128313439,79.46827457942337,78.20150782554191,82.00180808718628,0,0,0,0,0,0,0,1
20240719,2024-07-19,4.3756,4.3944,4.3193,4.385,2134197.78,0.2146,0.01,79.19740821611383,71.33906973478383,66.40187759986321,0.08769302226392295,0.07111564189021474,0.03315476074741641,4.213725,4.440507602832203,3.9869423971677973,0.10763996361044105,0.8776193540884759,0.07509999999999994,0.07178783981887693,1.6371229149116748,80.02378406487517,78.808933238653,82.45348571731952,0,0,0,0,0,0,0,1
20240722,2024-07-22,4.3662,4.385,4.3193,4.3662,1800670.7,-0.4283,-0.02,70.43549763009199,68.43169180084189,64.81571604956468,0.08741311300240273,0.07437513611265234,0.026075953779500782,4.2316,4.44637881891055,4.01682118108945,0.10151187206283672,0.8133456098761243,0.06569999999999965,0.07135299411752856,1.6342126819094076,77.84508183364096,78.48764943698231,76.55994662695826,0,0,0,1,0,0,0,0
20240723,2024-07-23,4.3568,4.5164,4.3474,4.4695,2806303.09,2.3656,0.11,82.90552378342846,74.56543418897284,69.0540635851697,0.09443810588295065,0.07838773006671201,0.032100751632477276,4.253310000000001,4.472280537792258,4.034339462207743,0.10296476757737266,0.9936508860500305,0.1689999999999996,0.07832778025199078,1.7524953630605387,80.72477117439655,79.23335668278705,83.70760015761556,0,0,1,0,0,0,0,1
20240724,2024-07-24,4.4507,4.5071,4.4413,4.4695,2009286.99,0.0,0.0,82.90552378342846,74.56543418897284,69.0540635851697,0.09886579995308953,0.08248334404398752,0.03276491181820401,4.273675,4.493566780799407,4.053783219200593,0.10290524234969059,0.9452758518032982,0.0658000000000003,0.07743293880542003,1.732474299259873,82.5259689126757,80.33089409274993,86.91611855252722,0,0,0,0,0,0,0,1
20240725,2024-07-25,4.4601,4.4883,4.3756,4.4413,2000970.04,-0.6303,-0.03,71.11415729604516,70.24424644569818,66.66694496610532,0.09895854260116987,0.08577838375542399,0.026360317691491775,4.28995,4.508822705133845,4.071077294866155,0.10203974644638973,0.8457489135236084,0.11269999999999936,0.07995201460503285,1.8001939658440738,78.96431923262244,79.8753691393741,77.14221941911913,0,0,0,1,0,0,0,1
20240726,2024-07-26,4.4413,4.4413,4.3005,4.3474,2400795.85,-2.1142,-0.1,45.344712827334774,58.15835092726868,59.518131897851134,0.09041287325022118,0.08670528165438343,0.007415183191675501,4.3010850000000005,4.506825339927927,4.095344660072074,0.09566904161527906,0.6125569249477878,0.1407999999999996,0.08429829927610191,1.939050910339557,59.88388612729099,73.21154146867973,33.228575444513524,0,0,0,0,0,0,0,0
20240729,2024-07-29,4.3662,4.4695,4.2911,4.4507,2264297.07,2.3758,0.11,63.0300632946325,65.24315490275892,63.955091271749055,0.09092765796671198,0.08754975691684914,0.006755802099725677,4.315150000000001,4.521445847854675,4.108854152145327,0.09561468215690037,0.8285330301351677,0.1783999999999999,0.09101984932780892,2.0450681764173932,63.53555124864232,69.98621139533392,50.63423095525911,0,0,0,0,0,0,0,0
20240730,2024-07-30,4.4601,4.4883,4.4319,4.4789,1584164.97,0.6329,0.03,66.57333585265228,66.89129711451758,65.04640336871617,0.092544339348958,0.08854867340327091,0.007991331891374187,4.3266100000000005,4.54282340237921,4.110396597620791,0.09994587096096468,0.852175208206805,0.056400000000000006,0.08854700294725114,1.9769810209482492,70.14220948755477,70.03821075940753,70.35020694384923,0,0,1,0,0,0,0,0
20240731,2024-07-31,4.4883,4.4883,4.3756,4.3756,2393074.4,-2.3061,-0.11,46.83985000380838,56.35020249276917,58.299500027473165,0.08451587787522996,0.08774211429766272,-0.0064524728448655255,4.335135,4.544512998894404,4.125757001105597,0.09659583791250033,0.5966314517610994,0.11269999999999936,0.09027221702244745,2.0630820235498546,59.26332237770706,66.4465812988407,44.8968045354398,0,1,0,1,0,0,0,0
20240801,2024-08-01,4.3756,4.4507,4.3193,4.4038,1746427.92,0.6438,0.03,51.54498664205259,58.28289909956332,59.49626391930611,0.0795122014741585,0.08609613173296189,-0.013167860517606794,4.343730000000001,4.549343783072648,4.1381162169273535,0.0946715302620776,0.6460748377427008,0.13140000000000018,0.09320991580655837,2.116579222638593,56.182945795820146,63.02536946450051,42.49809845845941,0,0,0,0,0,0,0,0
20240802,2024-08-02,4.4038,4.4507,4.3756,4.4132,1388977.81,0.2132,0.01,53.20180587813243,58.935594303355245,59.896587064814945,0.07543567778130633,0.0839640409426308,-0.01705672632264893,4.357705,4.539869384698553,4.175540615301447,0.08360565237828317,0.6523212127656927,0.07509999999999994,0.0919163503918042,2.0827596843969047,55.52009968278818,60.523612870596395,45.51307330717174,0,0,0,0,0,0,0,0
20240805,2024-08-05,4.4132,4.4319,4.3568,4.385,1679684.04,-0.6383,-0.03,47.370726462264365,56.099869445526544,58.09900401729439,0.06913258169395675,0.08099774909289599,-0.023730334797878477,4.367595,4.531327882271132,4.2038621177288675,0.07497622021782338,0.5531505943051147,0.07509999999999994,0.09071518250667532,2.068761288635697,51.504140529266124,57.51712209015297,39.47817740749244,0,0,0,0,0,0,0,0
20240806,2024-08-06,4.3756,4.3944,4.3005,4.3287,1789459.01,-1.2848,-0.06,37.51896363053559,50.840428368161206,54.6803076644097,0.05891525476860959,0.07658125022803872,-0.03533199091885825,4.372435,4.524592360027363,4.220277639972638,0.0695984548780542,0.35628365268648526,0.09389999999999965,0.0909426694704842,2.1009233596803703,40.69173939273596,51.90866119101396,18.25789579617995,0,0,0,0,0,0,0,0
20240807,2024-08-07,4.3287,4.3756,4.3099,4.338,1419535.11,0.2169,0.01,39.99275675739295,51.64684923886554,55.13535236587609,0.050980707977883455,0.07146114177800766,-0.04096086760024842,4.377294999999999,4.517488061995053,4.237101938004946,0.06405465566979314,0.35985397764767546,0.06570000000000054,0.08913962165116393,2.0548552708889796,35.05548008197273,46.290934154666886,12.584571936584425,0,0,0,0,0,0,0,0
20240808,2024-08-08,4.3474,4.3662,4.3287,4.338,734659.05,0.0,0.0,39.99275675739295,51.64684923886554,55.135352365876074,0.0441832059854006,0.06600555461948625,-0.0436446972681713,4.384385,4.497801127600837,4.270968872399163,0.051736390668628514,0.2955096819949202,0.037499999999999645,0.08545107724750935,1.9698265847743048,31.297973874797243,41.29328072804367,11.307360168304399,0,0,0,0,0,0,0,0
20240809,2024-08-09,4.338,4.3662,4.3193,4.3474,961159.32,0.2165,0.01,43.26235119537902,52.55911365573016,55.62570698664848,0.03910387301709761,0.06062521829900853,-0.04304269056382183,4.38882,4.487525379792437,4.290114620207563,0.044980372761898334,0.2901836754637911,0.04689999999999994,0.08269742887268725,1.9022272823454762,29.189774560478973,37.25877867218877,13.051766337059377,0,0,0,0,0,0,0,0
20240812,2024-08-12,4.3474,4.3944,4.338,4.3756,1027279.27,0.6479,0.03,52.56652211691102,55.28468875541081,57.093725322715464,0.03692828310726348,0.055885831260659526,-0.03791509630679209,4.391095,4.486131048008225,4.296058951991775,0.04328580821331595,0.4184783020509307,0.056400000000000006,0.08081904109606672,1.8470390596961952,32.789633164565004,35.76906350298084,26.830772487733327,0,0,0,0,0,0,0,0
