ts_code,trade_date,fwd_open,fwd_high,fwd_low,fwd_close,fwd_pre_close,bwd_open,bwd_high,bwd_low,bwd_close,bwd_pre_close,vol,amount,pct_chg,change
600519.SH,20231027,1494.9692,1520.0171,1491.9146,1506.3881,1502.3632,12925.952,13142.5238,12899.5408,13024.6833,12989.8826,34262.39,5754795.486,0.2679,4.48
600519.SH,20231026,1497.6644,1516.5312,1493.1813,1502.3632,1507.0978,12949.256,13112.384,12910.4937,12989.8826,13030.82,22386.35,3741418.874,-0.3142,-5.27
600519.SH,20231025,1500.4585,1525.5154,1497.6824,1507.0978,1476.0575,12973.4145,13190.064,12949.4114,13030.82,12762.4356,36178.98,6075417.064,2.1029,34.55
600519.SH,20231024,1480.5945,1485.41,1456.5258,1476.0575,1476.9828,12801.664,12843.3005,12593.5593,12762.4356,12770.4366,29861.46,4894807.617,-0.0627,-1.03
600519.SH,20231023,1464.396,1491.3755,1456.8762,1476.9828,1477.8992,12661.607,12894.88,12596.5888,12770.4366,12778.36,25234.23,4138279.588,-0.062,-1.02
600519.SH,20231020,1464.4229,1486.8834,1452.0697,1477.8992,1464.4229,12661.84,12856.04,12555.03,12778.36,12661.84,45376.01,7421390.806,0.9202,15.0
600519.SH,20231019,1527.3123,1527.3392,1460.8562,1464.4229,1552.468,13205.6,13205.833,12631.001,12661.84,13423.104,73492.37,12146921.769,-5.6713,-98.0
600519.SH,20231018,1544.2025,1565.0459,1542.7471,1552.468,1550.6712,13351.6384,13531.856,13339.0542,13423.104,13407.568,20317.5,3511987.514,0.1159,2.0
600519.SH,20231017,1562.3506,1562.7459,1541.687,1550.6712,1554.175,13508.552,13511.9699,13329.888,13407.568,13437.8632,14945.23,2577312.288,-0.2254,-3.9
600519.SH,20231016,1573.1137,1577.6237,1547.4818,1554.175,1573.1316,13601.6126,13640.608,13379.9916,13437.8632,13601.768,20789.65,3603604.61,-1.205,-21.1
600519.SH,20231013,1590.9922,1597.3979,1561.6229,1573.1316,1604.5763,13756.1958,13811.5817,13502.2599,13601.768,13873.648,25027.88,4387687.934,-1.9597,-35.0
600519.SH,20231012,1615.2675,1615.564,1596.6702,1604.5763,1597.8382,13966.0872,13968.6506,13805.2896,13873.648,13815.388,14865.07,2657095.942,0.4217,7.5
600519.SH,20231011,1603.3634,1603.3634,1588.4048,1597.8382,1590.2016,13863.1612,13863.1612,13733.824,13815.388,13749.36,21944.86,3896568.648,0.4802,8.5
600519.SH,20231010,1601.7822,1616.2378,1588.4048,1590.2016,1596.4905,13849.4895,13974.4766,13733.824,13749.36,13803.736,20283.92,3615557.182,-0.3939,-7.0
600519.SH,20231009,1614.405,1614.405,1585.6197,1596.4905,1615.8515,13958.6299,13958.6299,13709.7432,13803.736,13971.1364,29762.68,5279950.406,-1.1982,-21.55
600519.SH,20230928,1639.5967,1639.5967,1615.1776,1615.8515,1629.732,14176.4446,14176.4446,13965.3104,13971.1364,14091.152,20537.84,3704812.96,-0.8517,-15.45
600519.SH,20230927,1630.6304,1647.2512,1619.6697,1629.732,1631.5289,14098.92,14242.628,14004.1504,14091.152,14106.688,20879.94,3791876.119,-0.1101,-2.0
600519.SH,20230926,1642.3099,1648.491,1628.9234,1631.5289,1646.245,14199.904,14253.3478,14084.1608,14106.688,14233.9278,15761.96,2870852.363,-0.8939,-16.38
600519.SH,20230925,1659.8291,1660.2783,1641.0431,1646.245,1661.1767,14351.38,14355.264,14188.9511,14233.9278,14363.032,13979.13,2565773.541,-0.8989,-16.62
600519.SH,20230922,1622.2123,1662.0392,1610.3352,1661.1767,1615.7077,14026.1338,14370.4893,13923.4409,14363.032,13969.8935,34390.46,6287832.575,2.8142,50.61
600519.SH,20230921,1633.3347,1636.9194,1615.7077,1615.7077,1638.7162,14122.3017,14153.296,13969.8935,13969.8935,14168.832,19489.19,3521486.755,-1.4041,-25.61
600519.SH,20230920,1636.9194,1644.1067,1633.3706,1638.7162,1641.3576,14153.296,14215.44,14122.6124,14168.832,14191.6699,12501.78,2281583.949,-0.1609,-2.94
600519.SH,20230919,1637.0991,1643.2083,1624.3415,1641.3576,1643.388,14154.8496,14207.672,14044.544,14191.6699,14209.2256,14989.5,2727858.953,-0.1236,-2.26
600519.SH,20230918,1595.8706,1643.6575,1592.8968,1643.388,1600.9736,13798.3761,14211.556,13772.664,14209.2256,13842.4983,32558.92,5905121.0,2.6493,47.21
600519.SH,20230915,1634.2241,1634.9249,1600.3537,1600.9736,1633.9456,14129.992,14136.051,13837.1384,13842.4983,14127.5839,28431.46,5105749.077,-2.0179,-36.7
600519.SH,20230914,1637.3955,1641.3935,1622.5447,1633.9456,1635.0417,14157.413,14191.9806,14029.008,14127.5839,14137.0609,17504.59,3180447.848,-0.067,-1.22
600519.SH,20230913,1644.0349,1644.0349,1617.1991,1635.0417,1635.0866,14214.8186,14214.8186,13982.7884,14137.0609,14137.4493,19501.43,3540583.633,-0.0027,-0.05
600519.SH,20230912,1641.0521,1641.3935,1631.5468,1635.0866,1637.0721,14189.0288,14191.9806,14106.8434,14137.4493,14154.6166,12168.01,2214514.112,-0.1213,-2.21
600519.SH,20230911,1624.3415,1653.0909,1624.3415,1637.0721,1633.7749,14044.544,14293.12,14044.544,14154.6166,14126.108,15926.0,2902617.736,0.2018,3.67
600519.SH,20230908,1648.5449,1648.5449,1630.5855,1633.7749,1651.2941,14253.8139,14253.8139,14098.5316,14126.108,14277.584,12211.78,2224338.144,-1.0609,-19.5
600519.SH,20230907,1664.411,1668.2652,1645.1758,1651.2941,1671.9577,14390.9968,14424.3215,14224.6839,14277.584,14456.248,16981.57,3128587.116,-1.2359,-23.0
600519.SH,20230906,1669.2625,1677.0428,1661.1857,1671.9577,1669.8914,14432.944,14500.2149,14363.1097,14456.248,14438.3816,11121.43,2067605.99,0.1237,2.3
600519.SH,20230905,1678.2466,1678.2466,1668.1844,1669.8914,1676.4498,14510.624,14510.624,14423.6224,14438.3816,14495.088,15658.74,2915625.961,-0.3912,-7.3
600519.SH,20230904,1673.3952,1688.9738,1665.2465,1676.4498,1663.0184,14468.6768,14603.3739,14398.221,14495.088,14378.9564,23871.0,4453823.216,0.8076,14.95
600519.SH,20230901,1664.6176,1675.9736,1658.5084,1663.0184,1659.3799,14392.7834,14490.971,14339.961,14378.9564,14347.496,13145.19,2438622.738,0.2193,4.05
600519.SH,20230831,1671.0593,1671.0593,1653.9983,1659.3799,1667.4656,14448.48,14448.48,14300.9657,14347.496,14417.408,14820.22,2738445.519,-0.4849,-9.0
600519.SH,20230830,1678.1568,1678.2466,1656.3791,1667.4656,1663.27,14509.8472,14510.624,14321.5509,14417.408,14381.1314,19811.81,3672570.26,0.2523,4.67
600519.SH,20230829,1642.3099,1679.2169,1642.3099,1663.27,1648.5719,14199.904,14519.0134,14199.904,14381.1314,14254.047,28950.28,5371260.173,0.8916,16.36
600519.SH,20230828,1705.7203,1705.7203,1645.7958,1648.5719,1639.5967,14748.1694,14748.1694,14230.0438,14254.047,14176.4446,41052.13,7633221.012,0.5474,9.99
