ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
600519.SH,20230821,1791.0,0.1505,0.3444,1.1,35.8734,32.6525,11.198,18.1294,16.5358,2.4336,2.6701,125619.78,125619.78,54913.6536,224985025.98,224985025.98
600519.SH,20230818,1802.59,0.1355,0.31,0.89,36.1055,32.8638,11.2704,18.2467,16.6429,2.4179,2.6529,125619.78,125619.78,54913.6536,226440959.2302,226440959.2302
600519.SH,20230817,1828.05,0.1376,0.3149,0.89,36.6155,33.3279,11.4296,18.5044,16.8779,2.3842,2.616,125619.78,125619.78,54913.6536,229639238.829,229639238.829
600519.SH,20230816,1820.0,0.105,0.2401,0.64,36.4542,33.1812,11.3793,18.4229,16.8036,2.3948,2.6275,125619.78,125619.78,54913.6536,228627999.6,228627999.6
600519.SH,20230815,1812.98,0.118,0.2698,0.7,36.3136,33.0532,11.3354,18.3518,16.7388,2.4041,2.6377,125619.78,125619.78,54913.6536,227746148.7444,227746148.7444
600519.SH,20230814,1803.0,0.1889,0.4322,1.13,36.1137,32.8712,11.273,18.2508,16.6466,2.4174,2.6523,125619.78,125619.78,54913.6536,226492463.34,226492463.34
600519.SH,20230811,1834.0,0.2132,0.4878,1.3,36.7347,33.4364,11.4668,18.5646,16.9329,2.3765,2.6075,125619.78,125619.78,54913.6536,230386676.52,230386676.52
600519.SH,20230810,1875.0,0.1468,0.3357,0.87,37.5559,34.1839,11.7232,18.9796,17.3114,2.3245,2.5505,125619.78,125619.78,54913.6536,235537087.5,235537087.5
600519.SH,20230809,1890.28,0.1475,0.3373,0.87,37.8619,34.4625,11.8187,19.1343,17.4525,2.3057,2.5298,125619.78,125619.78,54913.6536,237456557.7384,237456557.7384
600519.SH,20230808,1890.0,0.1412,0.323,0.82,37.8563,34.4574,11.8169,19.1315,17.4499,2.3061,2.5302,125619.78,125619.78,54913.6536,237421384.2,237421384.2
600519.SH,20230807,1887.93,0.1902,0.4351,0.92,37.8149,34.4196,11.804,19.1105,17.4308,2.3086,2.533,125619.78,125619.78,54913.6536,237161351.2554,237161351.2554
600519.SH,20230804,1893.47,0.1956,0.4475,0.86,37.9258,34.5206,11.8386,19.1666,17.4819,2.3019,2.5256,125619.78,125619.78,54913.6536,237857284.8366,237857284.8366
600519.SH,20230803,1878.47,0.1715,0.3923,0.76,37.6254,34.2472,11.7449,19.0148,17.3434,2.3202,2.5457,125619.78,125619.78,54913.6536,235972988.1366,235972988.1366
600519.SH,20230802,1880.0,0.1473,0.3371,0.64,37.656,35.6388,12.7158,19.0303,18.0886,2.3184,2.5437,125619.78,125619.78,54913.6536,236165186.4,236165186.4
600519.SH,20230801,1889.0,0.1531,0.3502,0.57,37.8363,35.8094,12.7766,19.1214,18.1752,2.3073,2.5316,125619.78,125619.78,54913.6536,237295764.42,237295764.42
600519.SH,20230731,1880.58,0.3612,0.8264,1.6,37.6676,35.6498,12.7197,19.0361,18.0942,2.3176,2.5429,125619.78,125619.78,54913.6536,236238045.8724,236238045.8724
600519.SH,20230728,1897.0,0.3106,0.7105,1.37,37.9965,35.961,12.8307,19.2023,18.2522,2.2976,2.5209,125619.78,125619.78,54913.6536,238300722.66,238300722.66
600519.SH,20230727,1838.03,0.1619,0.3704,0.73,36.8154,34.8432,12.4319,18.6054,17.6848,2.3713,2.6018,125619.78,125619.78,54913.6536,230892924.2334,230892924.2334
600519.SH,20230726,1828.55,0.1561,0.3571,0.75,36.6255,34.6634,12.3678,18.5095,17.5936,2.3836,2.6152,125619.78,125619.78,54913.6536,229702048.719,229702048.719
