ts_code,trade_date,adj_factor
601988.SH,20250909,2.5346
601988.SH,20250908,2.5346
601988.SH,20250905,2.5346
601988.SH,20250904,2.5346
601988.SH,20250903,2.5346
601988.SH,20250902,2.5346
601988.SH,20250901,2.5346
601988.SH,20250829,2.5346
601988.SH,20250828,2.5346
601988.SH,20250827,2.5346
601988.SH,20250826,2.5346
601988.SH,20250825,2.5346
601988.SH,20250822,2.5346
601988.SH,20250821,2.5346
601988.SH,20250820,2.5346
601988.SH,20250819,2.5346
601988.SH,20250818,2.5346
601988.SH,20250815,2.5346
601988.SH,20250814,2.5346
601988.SH,20250813,2.5346
601988.SH,20250812,2.5346
601988.SH,20250811,2.5346
601988.SH,20250808,2.5346
601988.SH,20250807,2.5346
601988.SH,20250806,2.5346
601988.SH,20250805,2.5346
601988.SH,20250804,2.5346
601988.SH,20250801,2.5346
601988.SH,20250731,2.5346
601988.SH,20250730,2.5346
601988.SH,20250729,2.5346
601988.SH,20250728,2.5346
601988.SH,20250725,2.5346
601988.SH,20250724,2.5346
601988.SH,20250723,2.5346
601988.SH,20250722,2.5346
601988.SH,20250721,2.5346
601988.SH,20250718,2.5346
601988.SH,20250717,2.5346
601988.SH,20250716,2.5346
601988.SH,20250715,2.5346
601988.SH,20250714,2.5346
601988.SH,20250711,2.5346
601988.SH,20250710,2.5346
601988.SH,20250709,2.5346
601988.SH,20250708,2.5346
601988.SH,20250707,2.5346
601988.SH,20250704,2.5346
601988.SH,20250703,2.5346
601988.SH,20250702,2.5346
601988.SH,20250701,2.5346
601988.SH,20250630,2.5346
601988.SH,20250627,2.5346
601988.SH,20250626,2.5346
601988.SH,20250625,2.5346
601988.SH,20250624,2.5346
601988.SH,20250623,2.5346
601988.SH,20250620,2.5346
601988.SH,20250619,2.5346
601988.SH,20250618,2.5346
601988.SH,20250617,2.5346
601988.SH,20250616,2.5346
601988.SH,20250613,2.5346
601988.SH,20250612,2.5346
601988.SH,20250611,2.5346
601988.SH,20250610,2.5346
601988.SH,20250609,2.5346
601988.SH,20250606,2.5346
601988.SH,20250605,2.5346
601988.SH,20250604,2.5346
601988.SH,20250603,2.5346
601988.SH,20250530,2.5346
601988.SH,20250529,2.5346
601988.SH,20250528,2.5346
601988.SH,20250527,2.5346
601988.SH,20250526,2.5346
601988.SH,20250523,2.5346
601988.SH,20250522,2.5346
601988.SH,20250521,2.5346
601988.SH,20250520,2.5346
601988.SH,20250519,2.5346
601988.SH,20250516,2.5346
601988.SH,20250515,2.5346
601988.SH,20250514,2.5346
601988.SH,20250513,2.5346
601988.SH,20250512,2.5346
601988.SH,20250509,2.5346
601988.SH,20250508,2.5346
601988.SH,20250507,2.5346
601988.SH,20250506,2.5346
601988.SH,20250430,2.5346
601988.SH,20250429,2.5346
601988.SH,20250428,2.5346
601988.SH,20250425,2.5346
601988.SH,20250424,2.4824
601988.SH,20250423,2.4824
601988.SH,20250422,2.4824
601988.SH,20250421,2.4824
601988.SH,20250418,2.4824
601988.SH,20250417,2.4824
601988.SH,20250416,2.4824
601988.SH,20250415,2.4824
601988.SH,20250414,2.4824
601988.SH,20250411,2.4824
601988.SH,20250410,2.4824
601988.SH,20250409,2.4824
601988.SH,20250408,2.4824
601988.SH,20250407,2.4824
601988.SH,20250403,2.4824
601988.SH,20250402,2.4824
601988.SH,20250401,2.4824
601988.SH,20250331,2.4824
601988.SH,20250328,2.4824
601988.SH,20250327,2.4824
601988.SH,20250326,2.4824
601988.SH,20250325,2.4824
601988.SH,20250324,2.4824
601988.SH,20250321,2.4824
601988.SH,20250320,2.4824
601988.SH,20250319,2.4824
601988.SH,20250318,2.4824
601988.SH,20250317,2.4824
601988.SH,20250314,2.4824
601988.SH,20250313,2.4824
601988.SH,20250312,2.4824
601988.SH,20250311,2.4824
601988.SH,20250310,2.4824
601988.SH,20250307,2.4824
601988.SH,20250306,2.4824
601988.SH,20250305,2.4824
601988.SH,20250304,2.4824
601988.SH,20250303,2.4824
601988.SH,20250228,2.4824
601988.SH,20250227,2.4824
601988.SH,20250226,2.4824
601988.SH,20250225,2.4824
601988.SH,20250224,2.4824
601988.SH,20250221,2.4824
601988.SH,20250220,2.4824
601988.SH,20250219,2.4824
601988.SH,20250218,2.4824
601988.SH,20250217,2.4824
601988.SH,20250214,2.4824
601988.SH,20250213,2.4824
601988.SH,20250212,2.4824
601988.SH,20250211,2.4824
601988.SH,20250210,2.4824
601988.SH,20250207,2.4824
601988.SH,20250206,2.4824
601988.SH,20250205,2.4824
601988.SH,20250127,2.4824
601988.SH,20250124,2.4824
601988.SH,20250123,2.4824
601988.SH,20250122,2.4263
601988.SH,20250121,2.4263
601988.SH,20250120,2.4263
601988.SH,20250117,2.4263
601988.SH,20250116,2.4263
601988.SH,20250115,2.4263
601988.SH,20250114,2.4263
601988.SH,20250113,2.4263
601988.SH,20250110,2.4263
601988.SH,20250109,2.4263
601988.SH,20250108,2.4263
601988.SH,20250107,2.4263
601988.SH,20250106,2.4263
601988.SH,20250103,2.4263
601988.SH,20250102,2.4263
601988.SH,20241231,2.4263
601988.SH,20241230,2.4263
601988.SH,20241227,2.4263
601988.SH,20241226,2.4263
601988.SH,20241225,2.4263
601988.SH,20241224,2.4263
601988.SH,20241223,2.4263
601988.SH,20241220,2.4263
601988.SH,20241219,2.4263
601988.SH,20241218,2.4263
601988.SH,20241217,2.4263
601988.SH,20241216,2.4263
601988.SH,20241213,2.4263
601988.SH,20241212,2.4263
601988.SH,20241211,2.4263
601988.SH,20241210,2.4263
601988.SH,20241209,2.4263
601988.SH,20241206,2.4263
601988.SH,20241205,2.4263
601988.SH,20241204,2.4263
601988.SH,20241203,2.4263
601988.SH,20241202,2.4263
601988.SH,20241129,2.4263
601988.SH,20241128,2.4263
601988.SH,20241127,2.4263
601988.SH,20241126,2.4263
601988.SH,20241125,2.4263
601988.SH,20241122,2.4263
601988.SH,20241121,2.4263
601988.SH,20241120,2.4263
601988.SH,20241119,2.4263
601988.SH,20241118,2.4263
601988.SH,20241115,2.4263
601988.SH,20241114,2.4263
601988.SH,20241113,2.4263
601988.SH,20241112,2.4263
601988.SH,20241111,2.4263
601988.SH,20241108,2.4263
601988.SH,20241107,2.4263
601988.SH,20241106,2.4263
601988.SH,20241105,2.4263
601988.SH,20241104,2.4263
601988.SH,20241101,2.4263
601988.SH,20241031,2.4263
601988.SH,20241030,2.4263
601988.SH,20241029,2.4263
601988.SH,20241028,2.4263
601988.SH,20241025,2.4263
601988.SH,20241024,2.4263
601988.SH,20241023,2.4263
601988.SH,20241022,2.4263
601988.SH,20241021,2.4263
601988.SH,20241018,2.4263
601988.SH,20241017,2.4263
601988.SH,20241016,2.4263
601988.SH,20241015,2.4263
601988.SH,20241014,2.4263
601988.SH,20241011,2.4263
601988.SH,20241010,2.4263
601988.SH,20241009,2.4263
601988.SH,20241008,2.4263
601988.SH,20240930,2.4263
601988.SH,20240927,2.4263
601988.SH,20240926,2.4263
601988.SH,20240925,2.4263
601988.SH,20240924,2.4263
601988.SH,20240923,2.4263
601988.SH,20240920,2.4263
601988.SH,20240919,2.4263
601988.SH,20240918,2.4263
601988.SH,20240913,2.4263
601988.SH,20240912,2.4263
601988.SH,20240911,2.4263
601988.SH,20240910,2.4263
601988.SH,20240909,2.4263
601988.SH,20240906,2.4263
601988.SH,20240905,2.4263
601988.SH,20240904,2.4263
601988.SH,20240903,2.4263
601988.SH,20240902,2.4263
601988.SH,20240830,2.4263
601988.SH,20240829,2.4263
601988.SH,20240828,2.4263
601988.SH,20240827,2.4263
601988.SH,20240826,2.4263
601988.SH,20240823,2.4263
601988.SH,20240822,2.4263
601988.SH,20240821,2.4263
